"Movie ID","Byte Length","Stub v/s Not Stub",,,
607,13493,"Generic",,,
608,6942,"Generic",,,
609,9056,"Generic",,,
610,16507,"Generic",,,
611,11510,"Generic",,,
612,10855,"Generic",,,
613,6467,"Generic",,,
614,14209,"Generic",,,
615,8274,"Generic",,,
616,12273,"Generic",,,
617,8329,"Generic",,,
618,14844,"Generic",,,
619,16247,"Generic",,,
620,13494,"Generic",,,
621,14051,"Generic",,,
622,10285,"Generic",,,
623,6498,"Generic",,,
624,7241,"Generic",,,
625,5862,"Generic",,,
626,11010,"Generic",,,
627,11772,"Generic",,,
628,6706,"Generic",,,
629,10498,"Generic",,,
630,7513,"Generic",,,
631,12620,"Generic",,,
632,7340,"Generic",,,
633,11772,"Generic",,,
634,8471,"Generic",,,
635,11771,"Generic",,,
636,9536,"Generic",,,
637,10252,"Generic",,,
638,6946,"Generic",,,
639,7692,"Generic",,,
640,6654,"Generic",,,
641,7479,"Generic",,,
642,9341,"Generic",,,
643,8929,"Generic",,,
644,10821,"Generic",,,
645,6679,"Generic",,,
646,12073,"Generic",,,
647,13813,"Generic",,,
648,8398,"Generic",,,
649,7110,"Generic",,,
650,5667,"Generic",,,
651,8093,"Generic",,,
652,7872,"Generic",,,
653,8132,"Generic",,,
654,6376,"Generic",,,
655,7580,"Generic",,,
656,8061,"Generic",,,
657,6846,"Generic",,,
658,8040,"Generic",,,
659,7450,"Generic",,,
660,7902,"Generic",,,
661,13367,"Generic",,,
662,8624,"Generic",,,
663,12049,"Generic",,,
664,9137,"Generic",,,
665,7673,"Generic",,,
666,8166,"Generic",,,
667,7096,"Generic",,,
668,6050,"Generic",,,
669,7767,"Generic",,,
670,33321,"Generic",,,
671,32493,"Generic",,,
672,6307,"Generic",,,
673,71985,"Generic",,,
674,7152,"Generic",,,
675,16670,"Generic",,,
676,9139,"Generic",,,
677,69004,"Generic",,,
678,20164,"Generic",,,
679,28567,"Generic",,,
680,7816,"Generic",,,
681,15394,"Generic",,,
682,21926,"Generic",,,
683,10795,"Generic",,,
684,6914,"Generic",,,
685,20782,"Generic",,,
686,19485,"Generic",,,
687,17539,"Generic",,,
688,49479,"Generic",,,
689,62489,"Generic",,,
690,44550,"Generic",,,
691,22119,"Generic",,,
692,4961,"Stub",,,
693,21257,"Generic",,,
694,16892,"Generic",,,
695,7215,"Generic",,,
696,12642,"Generic",,,
697,31553,"Generic",,,
698,13049,"Generic",,,
699,73046,"Generic",,,
700,17042,"Generic",,,
701,42022,"Generic",,,
702,26906,"Generic",,,
703,19532,"Generic",,,
704,31032,"Generic",,,
705,34226,"Generic",,,
706,35191,"Generic",,,
707,11485,"Generic",,,
708,9747,"Generic",,,
709,76453,"Generic",,,
710,6090,"Generic",,,
711,25743,"Generic",,,
712,7829,"Generic",,,
713,9111,"Generic",,,
714,10344,"Generic",,,
715,7498,"Generic",,,
716,29945,"Generic",,,
717,22285,"Generic",,,
718,7960,"Generic",,,
719,19500,"Generic",,,
720,10802,"Generic",,,
721,13942,"Generic",,,
722,48645,"Generic",,,
723,26316,"Generic",,,
724,5015,"Generic",,,
725,17298,"Generic",,,
726,15634,"Generic",,,
727,26653,"Generic",,,
728,13530,"Generic",,,
729,18734,"Generic",,,
